token1,token2,token3,token4,token5,target
.,Exactly,.,I,need,convenience
Exactly,.,I,need,convenience,.
.,I,need,convenience,.,Although
I,need,convenience,.,Although,I
need,convenience,.,Although,I,wouldn’t
convenience,.,Although,I,wouldn’t,mind
.,Although,I,wouldn’t,mind,a
Although,I,wouldn’t,mind,a,cabin
I,wouldn’t,mind,a,cabin,if
wouldn’t,mind,a,cabin,if,it
mind,a,cabin,if,it,had
a,cabin,if,it,had,Wi-Fi
cabin,if,it,had,Wi-Fi,.
if,it,had,Wi-Fi,.,And
it,had,Wi-Fi,.,And,a
had,Wi-Fi,.,And,a,kitchen
Wi-Fi,.,And,a,kitchen,.
.,And,a,kitchen,.,And
And,a,kitchen,.,And,AC
a,kitchen,.,And,AC,.
kitchen,.,And,AC,.,So
.,And,AC,.,So,basically
And,AC,.,So,basically,a
AC,.,So,basically,a,house
.,So,basically,a,house,.
So,basically,a,house,.,Yeah
basically,a,house,.,Yeah,but
a,house,.,Yeah,but,in
house,.,Yeah,but,in,the
.,Yeah,but,in,the,woods
Yeah,but,in,the,woods,.
but,in,the,woods,.,Glamping
in,the,woods,.,Glamping,.
the,woods,.,Glamping,.,Totally
woods,.,Glamping,.,Totally,down
.,Glamping,.,Totally,down,for
Glamping,.,Totally,down,for,glamping
.,Totally,down,for,glamping,.
Totally,down,for,glamping,.,We
down,for,glamping,.,We,should
for,glamping,.,We,should,do
glamping,.,We,should,do,that
.,We,should,do,that,sometime
We,should,do,that,sometime,.
should,do,that,sometime,.,That
do,that,sometime,.,That,would
that,sometime,.,That,would,be
sometime,.,That,would,be,fun
.,That,would,be,fun,.
That,would,be,fun,.,After
would,be,fun,.,After,college
be,fun,.,After,college,apps
fun,.,After,college,apps,maybe
.,After,college,apps,maybe,.
After,college,apps,maybe,.,Let
college,apps,maybe,.,Let,is
apps,maybe,.,Let,is,survive
maybe,.,Let,is,survive,that
.,Let,is,survive,that,first
Let,is,survive,that,first,.
is,survive,that,first,.,One
survive,that,first,.,One,day
that,first,.,One,day,at
first,.,One,day,at,a
.,One,day,at,a,time
One,day,at,a,time,.
day,at,a,time,.,One
at,a,time,.,One,assignment
a,time,.,One,assignment,at
time,.,One,assignment,at,a
.,One,assignment,at,a,time
One,assignment,at,a,time,.
assignment,at,a,time,.,One
at,a,time,.,One,cup
a,time,.,One,cup,of
time,.,One,cup,of,coffee
.,One,cup,of,coffee,at
One,cup,of,coffee,at,a
cup,of,coffee,at,a,time
of,coffee,at,a,time,.
coffee,at,a,time,.,One
at,a,time,.,One,breakdown
a,time,.,One,breakdown,at
time,.,One,breakdown,at,a
.,One,breakdown,at,a,time
One,breakdown,at,a,time,.
breakdown,at,a,time,.,LOL
at,a,time,.,LOL,.
a,time,.,LOL,.,But
time,.,LOL,.,But,actually
.,LOL,.,But,actually,.
LOL,.,But,actually,.,We’ll
.,But,actually,.,We’ll,make
But,actually,.,We’ll,make,it
actually,.,We’ll,make,it,though
.,We’ll,make,it,though,.
We’ll,make,it,though,.,Yeah
make,it,though,.,Yeah,.
it,though,.,Yeah,.,People
though,.,Yeah,.,People,change
.,Yeah,.,People,change,.
Yeah,.,People,change,.,Full
.,People,change,.,Full,circle
People,change,.,Full,circle,.
change,.,Full,circle,.,I
.,Full,circle,.,I,respect
Full,circle,.,I,respect,that
circle,.,I,respect,that,.
.,I,respect,that,.,I
I,respect,that,.,I,try
respect,that,.,I,try,.
that,.,I,try,.,Sometimes
.,I,try,.,Sometimes,I
I,try,.,Sometimes,I,write
try,.,Sometimes,I,write,down
.,Sometimes,I,write,down,stuff
Sometimes,I,write,down,stuff,like
I,write,down,stuff,like,that
write,down,stuff,like,that,in
down,stuff,like,that,in,my
stuff,like,that,in,my,notes
like,that,in,my,notes,app
that,in,my,notes,app,.
in,my,notes,app,.,Same
my,notes,app,.,Same,.
notes,app,.,Same,.,I
app,.,Same,.,I,have
.,Same,.,I,have,a
Same,.,I,have,a,folder
.,I,have,a,folder,called
I,have,a,folder,called,","
have,a,folder,called,",",random
a,folder,called,",",random,thoughts
folder,called,",",random,thoughts,at
called,",",random,thoughts,at,midnight
",",random,thoughts,at,midnight,.
random,thoughts,at,midnight,.,I
thoughts,at,midnight,.,I,have
at,midnight,.,I,have,one
midnight,.,I,have,one,called
.,I,have,one,called,","
I,have,one,called,",",things
have,one,called,",",things,to
one,called,",",things,to,say
called,",",things,to,say,in
",",things,to,say,in,a
things,to,say,in,a,movie
to,say,in,a,movie,.
say,in,a,movie,.,That
in,a,movie,.,That,sounds
a,movie,.,That,sounds,amazing
movie,.,That,sounds,amazing,.
.,That,sounds,amazing,.,What
That,sounds,amazing,.,What,is
sounds,amazing,.,What,is,in
amazing,.,What,is,in,there
.,What,is,in,there,?
What,is,in,there,?,Mostly
is,in,there,?,Mostly,dramatic
in,there,?,Mostly,dramatic,one-liners
there,?,Mostly,dramatic,one-liners,.
?,Mostly,dramatic,one-liners,.,Like
Mostly,dramatic,one-liners,.,Like,","
dramatic,one-liners,.,Like,",",I
one-liners,.,Like,",",I,never
.,Like,",",I,never,meant
Like,",",I,never,meant,to
",",I,never,meant,to,stay
I,never,meant,to,stay,","
never,meant,to,stay,",",but
meant,to,stay,",",but,I
to,stay,",",but,I,could
stay,",",but,I,could,not
",",but,I,could,not,leave
but,I,could,not,leave,.
I,could,not,leave,.,Wow
could,not,leave,.,Wow,.
not,leave,.,Wow,.,That
leave,.,Wow,.,That,sounds
.,Wow,.,That,sounds,like
Wow,.,That,sounds,like,the
.,That,sounds,like,the,start
That,sounds,like,the,start,of
sounds,like,the,start,of,a
like,the,start,of,a,breakup
the,start,of,a,breakup,scene
start,of,a,breakup,scene,.
of,a,breakup,scene,.,Yeah
a,breakup,scene,.,Yeah,","
breakup,scene,.,Yeah,",",or
scene,.,Yeah,",",or,the
.,Yeah,",",or,the,end
Yeah,",",or,the,end,of
",",or,the,end,of,a
or,the,end,of,a,season
the,end,of,a,season,finale
end,of,a,season,finale,.
of,a,season,finale,.,You
a,season,finale,.,You,should
season,finale,.,You,should,be
finale,.,You,should,be,a
.,You,should,be,a,writer
You,should,be,a,writer,.
should,be,a,writer,.,Nah
be,a,writer,.,Nah,","
a,writer,.,Nah,",",I
writer,.,Nah,",",I,just
.,Nah,",",I,just,like
Nah,",",I,just,like,words
",",I,just,like,words,.
I,just,like,words,.,That
just,like,words,.,That,is
like,words,.,That,is,kind
words,.,That,is,kind,of
.,That,is,kind,of,what
That,is,kind,of,what,a
is,kind,of,what,a,writer
kind,of,what,a,writer,is
of,what,a,writer,is,though
what,a,writer,is,though,.
a,writer,is,though,.,Maybe
writer,is,though,.,Maybe,.
is,though,.,Maybe,.,I
though,.,Maybe,.,I,guess
.,Maybe,.,I,guess,I
Maybe,.,I,guess,I,do
.,I,guess,I,do,think
I,guess,I,do,think,about
guess,I,do,think,about,stories
I,do,think,about,stories,a
do,think,about,stories,a,lot
think,about,stories,a,lot,.
about,stories,a,lot,.,Me
stories,a,lot,.,Me,too
a,lot,.,Me,too,.
lot,.,Me,too,.,Like
.,Me,too,.,Like,","
Me,too,.,Like,",",if
too,.,Like,",",if,someone
.,Like,",",if,someone,watched
Like,",",if,someone,watched,my
",",if,someone,watched,my,life
if,someone,watched,my,life,as
someone,watched,my,life,as,a
watched,my,life,as,a,show
my,life,as,a,show,","
life,as,a,show,",",what
as,a,show,",",what,would
a,show,",",what,would,the
show,",",what,would,the,plot
",",what,would,the,plot,be
what,would,the,plot,be,?
would,the,plot,be,?,Probably
the,plot,be,?,Probably,a
plot,be,?,Probably,a,slow
be,?,Probably,a,slow,build
?,Probably,a,slow,build,with
Probably,a,slow,build,with,way
a,slow,build,with,way,too
slow,build,with,way,too,many
build,with,way,too,many,monologues
with,way,too,many,monologues,.
way,too,many,monologues,.,And
too,many,monologues,.,And,not
many,monologues,.,And,not,enough
monologues,.,And,not,enough,action
.,And,not,enough,action,.
And,not,enough,action,.,Unless
not,enough,action,.,Unless,you
enough,action,.,Unless,you,count
action,.,Unless,you,count,pulling
.,Unless,you,count,pulling,all-nighters
Unless,you,count,pulling,all-nighters,as
you,count,pulling,all-nighters,as,action
count,pulling,all-nighters,as,action,.
pulling,all-nighters,as,action,.,True
all-nighters,as,action,.,True,.
as,action,.,True,.,Or
action,.,True,.,Or,running
.,True,.,Or,running,to
True,.,Or,running,to,class
.,Or,running,to,class,after
Or,running,to,class,after,the
running,to,class,after,the,bell
to,class,after,the,bell,.
class,after,the,bell,.,That
after,the,bell,.,That,is
the,bell,.,That,is,basically
bell,.,That,is,basically,a
.,That,is,basically,a,chase
That,is,basically,a,chase,scene
is,basically,a,chase,scene,.
basically,a,chase,scene,.,Do
a,chase,scene,.,Do,you
chase,scene,.,Do,you,think
scene,.,Do,you,think,we
.,Do,you,think,we,are
Do,you,think,we,are,main
you,think,we,are,main,characters
think,we,are,main,characters,?
we,are,main,characters,?,Maybe
are,main,characters,?,Maybe,.
main,characters,?,Maybe,.,Or
characters,?,Maybe,.,Or,maybe
?,Maybe,.,Or,maybe,everyone
Maybe,.,Or,maybe,everyone,is
.,Or,maybe,everyone,is,the
Or,maybe,everyone,is,the,main
maybe,everyone,is,the,main,character
everyone,is,the,main,character,in
is,the,main,character,in,their
the,main,character,in,their,own
main,character,in,their,own,story
character,in,their,own,story,.
in,their,own,story,.,That
their,own,story,.,That,is
own,story,.,That,is,kind
story,.,That,is,kind,of
.,That,is,kind,of,deep
That,is,kind,of,deep,.
is,kind,of,deep,.,It
kind,of,deep,.,It,helps
of,deep,.,It,helps,me
deep,.,It,helps,me,not
.,It,helps,me,not,compare
It,helps,me,not,compare,myself
helps,me,not,compare,myself,to
me,not,compare,myself,to,others
not,compare,myself,to,others,as
compare,myself,to,others,as,much
myself,to,others,as,much,.
to,others,as,much,.,That
others,as,much,.,That,is
as,much,.,That,is,healthy
much,.,That,is,healthy,.
.,That,is,healthy,.,I
That,is,healthy,.,I,wish
is,healthy,.,I,wish,I
healthy,.,I,wish,I,did
.,I,wish,I,did,that
I,wish,I,did,that,more
wish,I,did,that,more,.
I,did,that,more,.,It
did,that,more,.,It,takes
that,more,.,It,takes,practice
more,.,It,takes,practice,.
.,It,takes,practice,.,I
It,takes,practice,.,I,still
takes,practice,.,I,still,fall
practice,.,I,still,fall,into
.,I,still,fall,into,it
I,still,fall,into,it,.
still,fall,into,it,.,Especially
fall,into,it,.,Especially,with
into,it,.,Especially,with,college
it,.,Especially,with,college,stuff
.,Especially,with,college,stuff,.
Especially,with,college,stuff,.,Yeah
with,college,stuff,.,Yeah,.
college,stuff,.,Yeah,.,Everyone
stuff,.,Yeah,.,Everyone,is
.,Yeah,.,Everyone,is,doing
Yeah,.,Everyone,is,doing,something
.,Everyone,is,doing,something,and
Everyone,is,doing,something,and,it
is,doing,something,and,it,makes
doing,something,and,it,makes,me
something,and,it,makes,me,feel
and,it,makes,me,feel,like
it,makes,me,feel,like,I
makes,me,feel,like,I,am
me,feel,like,I,am,behind
feel,like,I,am,behind,.
like,I,am,behind,.,But
I,am,behind,.,But,behind
am,behind,.,But,behind,what
behind,.,But,behind,what,","
.,But,behind,what,",",you
But,behind,what,",",you,know
behind,what,",",you,know,?
what,",",you,know,?,There
",",you,know,?,There,is
you,know,?,There,is,no
know,?,There,is,no,fixed
?,There,is,no,fixed,schedule
There,is,no,fixed,schedule,.
is,no,fixed,schedule,.,That
no,fixed,schedule,.,That,is
fixed,schedule,.,That,is,true
schedule,.,That,is,true,","
.,That,is,true,",",but
That,is,true,",",but,it
is,true,",",but,it,does
true,",",but,it,does,not
",",but,it,does,not,feel
but,it,does,not,feel,that
it,does,not,feel,that,way
does,not,feel,that,way,sometimes
not,feel,that,way,sometimes,.
feel,that,way,sometimes,.,No
that,way,sometimes,.,No,one
way,sometimes,.,No,one,really
sometimes,.,No,one,really,talks
.,No,one,really,talks,about
No,one,really,talks,about,how
one,really,talks,about,how,random
really,talks,about,how,random,success
talks,about,how,random,success,is
about,how,random,success,is,.
how,random,success,is,.,Or
random,success,is,.,Or,how
success,is,.,Or,how,messy
is,.,Or,how,messy,the
.,Or,how,messy,the,process
Or,how,messy,the,process,is
how,messy,the,process,is,.
messy,the,process,is,.,We
the,process,is,.,We,only
process,is,.,We,only,see
is,.,We,only,see,the
.,We,only,see,the,highlights
We,only,see,the,highlights,.
only,see,the,highlights,.,Exactly
see,the,highlights,.,Exactly,.
the,highlights,.,Exactly,.,The
highlights,.,Exactly,.,The,accepted
.,Exactly,.,The,accepted,posts
Exactly,.,The,accepted,posts,","
.,The,accepted,posts,",",the
The,accepted,posts,",",the,trophies
accepted,posts,",",the,trophies,","
posts,",",the,trophies,",",the
",",the,trophies,",",the,perfect
the,trophies,",",the,perfect,scores
trophies,",",the,perfect,scores,.
",",the,perfect,scores,.,But
the,perfect,scores,.,But,not
perfect,scores,.,But,not,the
scores,.,But,not,the,nights
.,But,not,the,nights,spent
But,not,the,nights,spent,crying
not,the,nights,spent,crying,or
the,nights,spent,crying,or,doubting
nights,spent,crying,or,doubting,.
spent,crying,or,doubting,.,I
crying,or,doubting,.,I,think
or,doubting,.,I,think,that
doubting,.,I,think,that,is
.,I,think,that,is,why
I,think,that,is,why,honest
think,that,is,why,honest,conversations
that,is,why,honest,conversations,matter
is,why,honest,conversations,matter,.
why,honest,conversations,matter,.,This
honest,conversations,matter,.,This,feels
conversations,matter,.,This,feels,like
matter,.,This,feels,like,one
.,This,feels,like,one,of
This,feels,like,one,of,them
feels,like,one,of,them,.
like,one,of,them,.,It
one,of,them,.,It,does
of,them,.,It,does,.
them,.,It,does,.,Kind
.,It,does,.,Kind,of
It,does,.,Kind,of,rare
does,.,Kind,of,rare,","
.,Kind,of,rare,",",actually
Kind,of,rare,",",actually,.
of,rare,",",actually,.,Yeah
rare,",",actually,.,Yeah,.
",",actually,.,Yeah,.,Most
actually,.,Yeah,.,Most,people
.,Yeah,.,Most,people,just
Yeah,.,Most,people,just,say
.,Most,people,just,say,","
Most,people,just,say,",",I’m
people,just,say,",",I’m,fine
just,say,",",I’m,fine,and
say,",",I’m,fine,and,move
",",I’m,fine,and,move,on
I’m,fine,and,move,on,.
fine,and,move,on,.,Because
and,move,on,.,Because,it
move,on,.,Because,it,is
on,.,Because,it,is,easier
.,Because,it,is,easier,.
Because,it,is,easier,.,But
it,is,easier,.,But,not
is,easier,.,But,not,better
easier,.,But,not,better,.
.,But,not,better,.,Agreed
But,not,better,.,Agreed,.
not,better,.,Agreed,.,I
better,.,Agreed,.,I,want
.,Agreed,.,I,want,to
Agreed,.,I,want,to,get
.,I,want,to,get,better
I,want,to,get,better,at
want,to,get,better,at,saying
to,get,better,at,saying,real
get,better,at,saying,real,things
better,at,saying,real,things,.
at,saying,real,things,.,Same
saying,real,things,.,Same,.
real,things,.,Same,.,I
things,.,Same,.,I,want
.,Same,.,I,want,to
Same,.,I,want,to,ask
.,I,want,to,ask,people
I,want,to,ask,people,real
want,to,ask,people,real,questions
to,ask,people,real,questions,too
ask,people,real,questions,too,.
people,real,questions,too,.,Like
real,questions,too,.,Like,","
questions,too,.,Like,",",What
too,.,Like,",",What,are
.,Like,",",What,are,you
Like,",",What,are,you,afraid
",",What,are,you,afraid,of
What,are,you,afraid,of,?
are,you,afraid,of,?,Or
you,afraid,of,?,Or,","
afraid,of,?,Or,",",When
of,?,Or,",",When,did
?,Or,",",When,did,you
Or,",",When,did,you,last
",",When,did,you,last,feel
When,did,you,last,feel,proud
did,you,last,feel,proud,of
you,last,feel,proud,of,yourself
last,feel,proud,of,yourself,?
feel,proud,of,yourself,?,That
proud,of,yourself,?,That,one
of,yourself,?,That,one,is
yourself,?,That,one,is,hard
?,That,one,is,hard,.
That,one,is,hard,.,I
one,is,hard,.,I,do
is,hard,.,I,do,not
hard,.,I,do,not,know
.,I,do,not,know,the
I,do,not,know,the,answer
do,not,know,the,answer,.
not,know,the,answer,.,Me
know,the,answer,.,Me,neither
the,answer,.,Me,neither,.
answer,.,Me,neither,.,But
.,Me,neither,.,But,I
Me,neither,.,But,I,want
neither,.,But,I,want,to
.,But,I,want,to,figure
But,I,want,to,figure,it
I,want,to,figure,it,out
want,to,figure,it,out,.
to,figure,it,out,.,Do
figure,it,out,.,Do,you
it,out,.,Do,you,think
out,.,Do,you,think,people
.,Do,you,think,people,our
Do,you,think,people,our,age
you,think,people,our,age,think
think,people,our,age,think,like
people,our,age,think,like,this
our,age,think,like,this,often
age,think,like,this,often,?
think,like,this,often,?,Probably
like,this,often,?,Probably,more
this,often,?,Probably,more,than
often,?,Probably,more,than,they
?,Probably,more,than,they,admit
Probably,more,than,they,admit,.
more,than,they,admit,.,I
than,they,admit,.,I,wonder
they,admit,.,I,wonder,why
admit,.,I,wonder,why,we
.,I,wonder,why,we,are
I,wonder,why,we,are,scared
wonder,why,we,are,scared,to
why,we,are,scared,to,say
we,are,scared,to,say,it
are,scared,to,say,it,out
scared,to,say,it,out,loud
to,say,it,out,loud,.
say,it,out,loud,.,Maybe
it,out,loud,.,Maybe,because
out,loud,.,Maybe,because,people
loud,.,Maybe,because,people,might
.,Maybe,because,people,might,not
Maybe,because,people,might,not,take
because,people,might,not,take,us
people,might,not,take,us,seriously
might,not,take,us,seriously,.
not,take,us,seriously,.,But
take,us,seriously,.,But,we
us,seriously,.,But,we,are
seriously,.,But,we,are,serious
.,But,we,are,serious,.
But,we,are,serious,.,Yeah
we,are,serious,.,Yeah,","
are,serious,.,Yeah,",",and
serious,.,Yeah,",",and,thoughtful
.,Yeah,",",and,thoughtful,too
Yeah,",",and,thoughtful,too,.
",",and,thoughtful,too,.,It
and,thoughtful,too,.,It,just
thoughtful,too,.,It,just,gets
too,.,It,just,gets,buried
.,It,just,gets,buried,under
It,just,gets,buried,under,test
just,gets,buried,under,test,scores
gets,buried,under,test,scores,and
buried,under,test,scores,and,grades
under,test,scores,and,grades,.
test,scores,and,grades,.,And
scores,and,grades,.,And,trying
and,grades,.,And,trying,to
grades,.,And,trying,to,seem
.,And,trying,to,seem,chill
And,trying,to,seem,chill,.
trying,to,seem,chill,.,Which
to,seem,chill,.,Which,is
seem,chill,.,Which,is,so
chill,.,Which,is,so,much
.,Which,is,so,much,work
Which,is,so,much,work,.
is,so,much,work,.,It
so,much,work,.,It,really
much,work,.,It,really,is
work,.,It,really,is,.
.,It,really,is,.,Being
It,really,is,.,Being,chill
really,is,.,Being,chill,is
is,.,Being,chill,is,exhausting
.,Being,chill,is,exhausting,.
Being,chill,is,exhausting,.,I
chill,is,exhausting,.,I,feel
is,exhausting,.,I,feel,like
exhausting,.,I,feel,like,we
.,I,feel,like,we,are
I,feel,like,we,are,always
feel,like,we,are,always,pretending
like,we,are,always,pretending,a
we,are,always,pretending,a,little
are,always,pretending,a,little,.
always,pretending,a,little,.,Trying
pretending,a,little,.,Trying,to
a,little,.,Trying,to,be
little,.,Trying,to,be,cool
.,Trying,to,be,cool,","
Trying,to,be,cool,",",confident
to,be,cool,",",confident,","
be,cool,",",confident,",",funny
cool,",",confident,",",funny,.
",",confident,",",funny,.,But
confident,",",funny,.,But,deep
",",funny,.,But,deep,down
funny,.,But,deep,down,","
.,But,deep,down,",",we
But,deep,down,",",we,are
deep,down,",",we,are,all
down,",",we,are,all,kind
",",we,are,all,kind,of
we,are,all,kind,of,unsure
are,all,kind,of,unsure,.
all,kind,of,unsure,.,Kind
kind,of,unsure,.,Kind,of
of,unsure,.,Kind,of,lost
unsure,.,Kind,of,lost,.
.,Kind,of,lost,.,Kind
Kind,of,lost,.,Kind,of
of,lost,.,Kind,of,hoping
lost,.,Kind,of,hoping,someone
.,Kind,of,hoping,someone,else
Kind,of,hoping,someone,else,feels
of,hoping,someone,else,feels,the
hoping,someone,else,feels,the,same
someone,else,feels,the,same,.
else,feels,the,same,.,Maybe
feels,the,same,.,Maybe,that
the,same,.,Maybe,that,is
same,.,Maybe,that,is,what
.,Maybe,that,is,what,connection
Maybe,that,is,what,connection,is
that,is,what,connection,is,.
is,what,connection,is,.,Realizing
what,connection,is,.,Realizing,you
connection,is,.,Realizing,you,are
is,.,Realizing,you,are,not
.,Realizing,you,are,not,the
Realizing,you,are,not,the,only
you,are,not,the,only,one
are,not,the,only,one,faking
not,the,only,one,faking,it
the,only,one,faking,it,.
only,one,faking,it,.,I
one,faking,it,.,I,like
faking,it,.,I,like,that
it,.,I,like,that,.
.,I,like,that,.,I
I,like,that,.,I,might
like,that,.,I,might,write
that,.,I,might,write,that
.,I,might,write,that,in
I,might,write,that,in,my
might,write,that,in,my,notes
write,that,in,my,notes,app
that,in,my,notes,app,.
in,my,notes,app,.,Do
my,notes,app,.,Do,it
notes,app,.,Do,it,.
app,.,Do,it,.,You
.,Do,it,.,You,have
Do,it,.,You,have,a
it,.,You,have,a,good
.,You,have,a,good,way
You,have,a,good,way,with
have,a,good,way,with,words
a,good,way,with,words,.
good,way,with,words,.,Thanks
way,with,words,.,Thanks,.
with,words,.,Thanks,.,That
words,.,Thanks,.,That,means
.,Thanks,.,That,means,a
Thanks,.,That,means,a,lot
.,That,means,a,lot,.
That,means,a,lot,.,I
means,a,lot,.,I,mean
a,lot,.,I,mean,it
lot,.,I,mean,it,.
.,I,mean,it,.,You
I,mean,it,.,You,have
mean,it,.,You,have,thoughts
it,.,You,have,thoughts,that
.,You,have,thoughts,that,matter
You,have,thoughts,that,matter,.
have,thoughts,that,matter,.,So
thoughts,that,matter,.,So,do
that,matter,.,So,do,you
matter,.,So,do,you,.
.,So,do,you,.,That
So,do,you,.,That,is
do,you,.,That,is,why
you,.,That,is,why,this
.,That,is,why,this,conversation
That,is,why,this,conversation,is
is,why,this,conversation,is,nice
why,this,conversation,is,nice,.
this,conversation,is,nice,.,Yeah
conversation,is,nice,.,Yeah,.
is,nice,.,Yeah,.,We
nice,.,Yeah,.,We,should
.,Yeah,.,We,should,do
Yeah,.,We,should,do,this
.,We,should,do,this,more
We,should,do,this,more,.
should,do,this,more,.,Definitely
do,this,more,.,Definitely,.
this,more,.,Definitely,.,It
more,.,Definitely,.,It,is
.,Definitely,.,It,is,kind
Definitely,.,It,is,kind,of
.,It,is,kind,of,rare
It,is,kind,of,rare,to
is,kind,of,rare,to,talk
kind,of,rare,to,talk,like
of,rare,to,talk,like,this
rare,to,talk,like,this,.
to,talk,like,this,.,It
talk,like,this,.,It,should
like,this,.,It,should,not
this,.,It,should,not,be
.,It,should,not,be,.
It,should,not,be,.,No
should,not,be,.,No,","
not,be,.,No,",",but
be,.,No,",",but,I
.,No,",",but,I,guess
No,",",but,I,guess,we
",",but,I,guess,we,need
but,I,guess,we,need,the
I,guess,we,need,the,right
guess,we,need,the,right,space
we,need,the,right,space,.
need,the,right,space,.,And
the,right,space,.,And,the
right,space,.,And,the,right
space,.,And,the,right,people
.,And,the,right,people,.
And,the,right,people,.,I
the,right,people,.,I,think
right,people,.,I,think,we
people,.,I,think,we,found
.,I,think,we,found,that
I,think,we,found,that,today
think,we,found,that,today,.
we,found,that,today,.,Yeah
found,that,today,.,Yeah,.
that,today,.,Yeah,.,This
today,.,Yeah,.,This,was
.,Yeah,.,This,was,real
Yeah,.,This,was,real,.
.,This,was,real,.,You
This,was,real,.,You,want
was,real,.,You,want,to
real,.,You,want,to,go
.,You,want,to,go,get
You,want,to,go,get,something
want,to,go,get,something,to
to,go,get,something,to,eat
go,get,something,to,eat,?
get,something,to,eat,?,Sure
something,to,eat,?,Sure,.
to,eat,?,Sure,.,I
eat,?,Sure,.,I,could
?,Sure,.,I,could,use
Sure,.,I,could,use,a
.,I,could,use,a,break
I,could,use,a,break,.
could,use,a,break,.,Do
use,a,break,.,Do,you
a,break,.,Do,you,want
break,.,Do,you,want,sushi
.,Do,you,want,sushi,again
Do,you,want,sushi,again,?
you,want,sushi,again,?,Always
want,sushi,again,?,Always,.
sushi,again,?,Always,.,I
again,?,Always,.,I,never
?,Always,.,I,never,get
Always,.,I,never,get,tired
.,I,never,get,tired,of
I,never,get,tired,of,it
never,get,tired,of,it,.
get,tired,of,it,.,Let
tired,of,it,.,Let,us
of,it,.,Let,us,go
it,.,Let,us,go,.
.,Let,us,go,.,We
Let,us,go,.,We,earned
us,go,.,We,earned,it
go,.,We,earned,it,.
.,We,earned,it,.,Yeah
We,earned,it,.,Yeah,","
earned,it,.,Yeah,",",we
it,.,Yeah,",",we,did
.,Yeah,",",we,did,.
